i,j,PSR,parameters,parm
1,130,1.1181,poverty,130
1,131,1.0161999,insured,131
1,132,1.0315,healthProv,132
1,133,1.0898,medicalUti,133
1,134,1.0408,erCare_re,134
1,135,1.0256,sapro_lf,135
1,136,1.0226001,hivpp_lf,136
1,137,1.034,homeless_l,137
1,138,1.0456001,incarcerat,138
1,139,1.0159,ipv_lf,139
1,140,1.0489,sexex_lf,140
1,141,1.0639,suicide_lf,141
1,142,1.0282,hospitalmh,142
1,143,1.1486,sexab_lf,143
1,144,1.2596,tmx5old_lf,144
1,145,1.0384001,tmrob_lf,145
1,146,1.0236,tmotinj_lf,146
1,147,1.0702,tmotmdr_lf,147
1,148,1.0323,xdrug_r,148
1,149,1.0739,smoke_lf,149
1,150,1.0267, Residual Var.,150
1,151,1.0264, Grand Mean,151
1,152,1.0069,depression,152
1,153,1.0027,age,153
1,154,1.0095,audit_c,154
1,155,1.0136,count_lf,155
1,156,1.0032001,anxietyr,156
1,157,1.0174,sadr,157
1,158,1.0023,intfsocr,158
1,159,1.0115,energr,159
1,160,1.002,anxiety_ra,160
1,161,1.0132999,srMentH,161
1,162,1.005,srPhysH,162
1,163,1.0067,srLivSit,163
1,164,1.0118999,srDrugFree,164
1,165,1.0143,srSocNet,165
1,166,1.0261,srSexRx,166
1,167,1.0023,ssHelp,167
1,168,1.0333,ssEmoHelp,168
1,169,1.0317,ssNewFri,169
1,170,1.0164,smAppFreq,170
1,171,1.0032001,datingAppF,171
1,172,1.0082999,losAng,172
1,173,1.018,RaceEthnic#2,173
1,174,1.0307,RaceEthnic#3,174
1,175,1.0127,RaceEthnic#4,175
1,176,1.0452,female,176
1,177,1.0261,cis,177
1,178,1.0109,heterosexu,178
1,179,1.1246001,employed,179
1,180,1.0513,poverty,180
1,181,1.0571001,insured,181
1,182,1.0532,healthProv,182
1,183,1.0462,medicalUti,183
1,184,1.0735,erCare_re,184
1,185,1.017,sapro_lf,185
1,186,1.043,hivpp_lf,186
1,187,1.0066,homeless_l,187
1,188,1.0096999,incarcerat,188
1,189,1.017,ipv_lf,189
1,190,1.0438,sexex_lf,190
1,191,1.0992,suicide_lf,191
1,192,1.0240999,hospitalmh,192
1,193,1.0229,sexab_lf,193
1,194,1.0142,tmx5old_lf,194
1,195,1.0118001,tmrob_lf,195
1,196,1.0628999,tmotinj_lf,196
1,197,1.0826,tmotmdr_lf,197
1,198,1.0072,xdrug_r,198
1,199,1.0093,smoke_lf,199
1,200,1.0048, Residual Var.,200
1,201,1.0703, Grand Mean,201
1,202,1.0164,depression,202
1,203,1.0172,age,203
1,204,1.0049,audit_c,204
1,205,1.0458,count_lf,205
1,206,1.0089999,ptsd,206
1,207,1.002,sadr,207
1,208,1.015,intfsocr,208
1,209,1.0275,energr,209
1,210,1.0074,anxiety_ra,210
1,211,1.02,srMentH,211
1,212,1.0482,srPhysH,212
1,213,1.0075001,srLivSit,213
1,214,1.0014,srDrugFree,214
1,215,1.0066,srSocNet,215
1,216,1.0329,srSexRx,216
1,217,1.0239,ssHelp,217
1,218,1.0427001,ssEmoHelp,218
1,219,1.0172,ssNewFri,219
1,220,1.0275,smAppFreq,220
1,221,1.0211,datingAppF,221
1,222,1.0608,losAng,222
1,223,1.0288,RaceEthnic#2,223
1,224,1.0263,RaceEthnic#3,224
1,225,1.0173,RaceEthnic#4,225
1,226,1.0140001,female,226
1,227,1.0036,cis,227
1,228,1.0079,heterosexu,228
1,229,1.0341001,employed,229
1,230,1.0445,poverty,230
1,231,1.0304,insured,231
1,232,1.0158,healthProv,232
1,233,1.0168999,medicalUti,233
1,234,1.0003,erCare_re,234
1,235,1.0027,sapro_lf,235
1,236,1.0808001,hivpp_lf,236
1,237,1.0132999,homeless_l,237
1,238,1.0157,incarcerat,238
1,239,1.036,ipv_lf,239
1,240,1.0793999,sexex_lf,240
1,241,1.0238,suicide_lf,241
1,242,1.0306,hospitalmh,242
1,243,1.0257,sexab_lf,243
1,244,1.0307,tmx5old_lf,244
1,245,1.0085,tmrob_lf,245
1,246,1.0124,tmotinj_lf,246
1,247,1.057,tmotmdr_lf,247
1,248,1.0864,xdrug_r,248
1,249,1.103,smoke_lf,249
1,250,1.0013, Residual Var.,250
1,251,1.0966001, Grand Mean,251
1,252,1.0034,depression,252
1,253,1.0072,age,253
1,254,1.0213,audit_c,254
1,255,1.0224,count_lf,255
1,256,1.0094,ptsd,256
1,257,1.0017,anxietyr,257
1,258,1.0069,intfsocr,258
1,259,1.0089999,energr,259
1,260,1.0121,anxiety_ra,260
1,261,1.0003,srMentH,261
1,262,1.0229,srPhysH,262
1,263,1.0257,srLivSit,263
1,264,1.0266,srDrugFree,264
1,265,1.0063,srSocNet,265
1,266,1.0041,srSexRx,266
1,267,1.0096999,ssHelp,267
1,268,1.0068001,ssEmoHelp,268
1,269,1.0259,ssNewFri,269
1,270,1.013,smAppFreq,270
1,271,1.029,datingAppF,271
1,272,1.0125999,losAng,272
1,273,1.0209,RaceEthnic#2,273
1,274,1.0352,RaceEthnic#3,274
1,275,1.0147001,RaceEthnic#4,275
1,276,1.0447,female,276
1,277,1.026,cis,277
1,278,1.0441999,heterosexu,278
1,279,1.0517,employed,279
1,280,1.0386,poverty,280
1,281,1.1097,insured,281
1,282,1.0432,healthProv,282
1,283,1.0184,medicalUti,283
1,284,1.0771,erCare_re,284
1,285,1.029,sapro_lf,285
1,286,1.0648,hivpp_lf,286
1,287,1.0197001,homeless_l,287
1,288,1.0568,incarcerat,288
1,289,1.0154001,ipv_lf,289
1,290,1.0453,sexex_lf,290
1,291,1.0194,suicide_lf,291
1,292,1.001,hospitalmh,292
1,293,1.0197999,sexab_lf,293
1,294,1.0357,tmx5old_lf,294
1,295,1.0068001,tmrob_lf,295
1,296,1.0151,tmotinj_lf,296
1,297,1.0103,tmotmdr_lf,297
1,298,1.008,xdrug_r,298
1,299,1.0376,smoke_lf,299
1,300,1.0386, Residual Var.,300
1,301,1.0776, Grand Mean,301
1,302,1.0031,depression,302
1,303,1.0102,age,303
1,304,1.011,audit_c,304
1,305,1.0149,count_lf,305
1,306,1.006,ptsd,306
1,307,1.0109,anxietyr,307
1,308,1.0094,sadr,308
1,309,1.0029,energr,309
1,310,1.013,anxiety_ra,310
1,311,1.0019,srMentH,311
1,312,1.0256,srPhysH,312
1,313,1.0006,srLivSit,313
1,314,1.0082,srDrugFree,314
1,315,1.0041,srSocNet,315
1,316,1.0044,srSexRx,316
1,317,1.0118001,ssHelp,317
1,318,1.0145,ssEmoHelp,318
1,319,1.0006,ssNewFri,319
1,320,1.0082999,smAppFreq,320
1,321,1.024,datingAppF,321
1,322,1.0377001,losAng,322
1,323,1.0075999,RaceEthnic#2,323
1,324,1.0177,RaceEthnic#3,324
1,325,1.0135,RaceEthnic#4,325
1,326,1.0283,female,326
1,327,1.0106,cis,327
1,328,1.0078,heterosexu,328
1,329,1.0518,employed,329
1,330,1.0046999,poverty,330
1,331,1.0341001,insured,331
1,332,1.0087,healthProv,332
1,333,1.0092,medicalUti,333
1,334,1.0238,erCare_re,334
1,335,1.0082999,sapro_lf,335
1,336,1.0404,hivpp_lf,336
1,337,1.0052,homeless_l,337
1,338,1.0836,incarcerat,338
1,339,1.0134,ipv_lf,339
1,340,1.0274,sexex_lf,340
1,341,1.023,suicide_lf,341
1,342,1.0141,hospitalmh,342
1,343,1.0861,sexab_lf,343
1,344,1.0019,tmx5old_lf,344
1,345,1.0841,tmrob_lf,345
1,346,1.0225,tmotinj_lf,346
1,347,1.0484999,tmotmdr_lf,347
1,348,1.0302,xdrug_r,348
1,349,1.0482,smoke_lf,349
1,350,1.003, Residual Var.,350
1,351,1.069, Grand Mean,351
1,352,1.0021,depression,352
1,353,1.0134,age,353
1,354,1.0188,audit_c,354
1,355,1.0022,count_lf,355
1,356,1.0228,ptsd,356
1,357,1.0244,anxietyr,357
1,358,1.0290999,sadr,358
1,359,1.0019,intfsocr,359
1,360,1.0128,anxiety_ra,360
1,361,1.0102,srMentH,361
1,362,1.003,srPhysH,362
1,363,1.0003,srLivSit,363
1,364,1.0214,srDrugFree,364
1,365,1.002,srSocNet,365
1,366,1.0118001,srSexRx,366
1,367,1.0085,ssHelp,367
1,368,1.0038,ssEmoHelp,368
1,369,1.0017,ssNewFri,369
1,370,1.0013,smAppFreq,370
1,371,1.0187,datingAppF,371
1,372,1.0095,losAng,372
1,373,1.015,RaceEthnic#2,373
1,374,1.0269001,RaceEthnic#3,374
1,375,1.0208,RaceEthnic#4,375
1,376,1.0176001,female,376
1,377,1.018,cis,377
1,378,1.0163,heterosexu,378
1,379,1.0055,employed,379
1,380,1.0086,poverty,380
1,381,1.0104001,insured,381
1,382,1.003,healthProv,382
1,383,1.0587,medicalUti,383
1,384,1.0345,erCare_re,384
1,385,1.0283999,sapro_lf,385
1,386,1.0433,hivpp_lf,386
1,387,1.0201,homeless_l,387
1,388,1.0578001,incarcerat,388
1,389,1.0446,ipv_lf,389
1,390,1.0259,sexex_lf,390
1,391,1.118,suicide_lf,391
1,392,1.0229,hospitalmh,392
1,393,1.0721999,sexab_lf,393
1,394,1.0726,tmx5old_lf,394
1,395,1.0064,tmrob_lf,395
1,396,1.0064,tmotinj_lf,396
1,397,1.0107,tmotmdr_lf,397
1,398,1.0089,xdrug_r,398
1,399,1.0135,smoke_lf,399
1,400,1.0017999, Residual Var.,400
1,401,1.1555001, Grand Mean,401
1,402,1.0017999,depression,402
1,403,1.0407,age,403
1,404,1.0035,audit_c,404
1,405,1.0089999,count_lf,405
1,406,1.0125999,ptsd,406
1,407,1.0304,anxietyr,407
1,408,1.0314,sadr,408
1,409,1.0129,intfsocr,409
1,410,1.0227,energr,410
1,411,1.0103,srMentH,411
1,412,1.0255001,srPhysH,412
1,413,1.0418,srLivSit,413
1,414,1.013,srDrugFree,414
1,415,1.0104001,srSocNet,415
1,416,1.0201,srSexRx,416
1,417,1.0075001,ssHelp,417
1,418,1.0190001,ssEmoHelp,418
1,419,1.0215,ssNewFri,419
1,420,1.0195,smAppFreq,420
1,421,1.0132,datingAppF,421
1,422,1.0247999,losAng,422
1,423,1.0257,RaceEthnic#2,423
1,424,1.0016,RaceEthnic#3,424
1,425,1.005,RaceEthnic#4,425
1,426,1.0066,female,426
1,427,1.0156,cis,427
1,428,1.0233999,heterosexu,428
1,429,1.1276,employed,429
1,430,1.1677001,poverty,430
1,431,1.0355999,insured,431
1,432,1.0139,healthProv,432
1,433,1.0143,medicalUti,433
1,434,1.0089999,erCare_re,434
1,435,1.0017,sapro_lf,435
1,436,1.0358,hivpp_lf,436
1,437,1.0077,homeless_l,437
1,438,1.0598,incarcerat,438
1,439,1.09,ipv_lf,439
1,440,1.0019,sexex_lf,440
1,441,1.0172,suicide_lf,441
1,442,1.0190001,hospitalmh,442
1,443,1.0333,sexab_lf,443
1,444,1.0019,tmx5old_lf,444
1,445,1.0145,tmrob_lf,445
1,446,1.0208,tmotinj_lf,446
1,447,1.0096999,tmotmdr_lf,447
1,448,1.0135,xdrug_r,448
1,449,1.0142,smoke_lf,449
1,450,1.0068001, Residual Var.,450
1,451,1.0654, Grand Mean,451
1,452,1.0149,depression,452
1,453,1.057,age,453
1,454,1.0125,audit_c,454
1,455,1.0173,count_lf,455
1,456,1.0075001,ptsd,456
1,457,1.0325,anxietyr,457
1,458,1.0078,sadr,458
1,459,1.0111001,intfsocr,459
1,460,1.0084,energr,460
1,461,1.0029,anxiety_ra,461
1,462,1.0057,srPhysH,462
1,463,1.0112,srLivSit,463
1,464,1.0161999,srDrugFree,464
1,465,1.0102,srSocNet,465
1,466,1.0421,srSexRx,466
1,467,1.0013,ssHelp,467
1,468,1.011,ssEmoHelp,468
1,469,1.0158,ssNewFri,469
1,470,1.0012,smAppFreq,470
1,471,1.011,datingAppF,471
1,472,1.0251,losAng,472
1,473,1.0139,RaceEthnic#2,473
1,474,1.0336,RaceEthnic#3,474
1,475,1.0082999,RaceEthnic#4,475
1,476,1.0261,female,476
1,477,1.0227,cis,477
1,478,1.0396,heterosexu,478
1,479,1.1134,employed,479
1,480,1.0980999,poverty,480
1,481,1.0276999,insured,481
1,482,1.0481,healthProv,482
1,483,1.0826,medicalUti,483
1,484,1.0536,erCare_re,484
1,485,1.0158,sapro_lf,485
1,486,1.0153,hivpp_lf,486
1,487,1.0458,homeless_l,487
1,488,1.0786,incarcerat,488
1,489,1.0096,ipv_lf,489
1,490,1.0562,sexex_lf,490
1,491,1.0197001,suicide_lf,491
1,492,1.0506001,hospitalmh,492
1,493,1.0379,sexab_lf,493
1,494,1.0546,tmx5old_lf,494
1,495,1.0651,tmrob_lf,495
1,496,1.0204999,tmotinj_lf,496
1,497,1.0882,tmotmdr_lf,497
1,498,1.0032001,xdrug_r,498
1,499,1.0017999,smoke_lf,499
1,500,1.0064, Residual Var.,500
1,501,1.0467, Grand Mean,501
1,502,1.0086,depression,502
1,503,1.0921,age,503
1,504,1.0112,audit_c,504
1,505,1.0414,count_lf,505
1,506,1.0317,ptsd,506
1,507,1.0085,anxietyr,507
1,508,1.0043,sadr,508
1,509,1.0153,intfsocr,509
1,510,1.0058,energr,510
1,511,1.0026,anxiety_ra,511
1,512,1.0118999,srMentH,512
1,513,1.0245,srLivSit,513
1,514,1.0017999,srDrugFree,514
1,515,1.0129,srSocNet,515
1,516,1.0227,srSexRx,516
1,517,1.0044,ssHelp,517
1,518,1.0306,ssEmoHelp,518
1,519,1.0416,ssNewFri,519
1,520,1.0010999,smAppFreq,520
1,521,1.0275,datingAppF,521
1,522,1.056,losAng,522
1,523,1.0175,RaceEthnic#2,523
1,524,1.0009,RaceEthnic#3,524
1,525,1.0151,RaceEthnic#4,525
1,526,1.0257,female,526
1,527,1.0154001,cis,527
1,528,1.01,heterosexu,528
1,529,1.1402,employed,529
1,530,1.1147,poverty,530
1,531,1.021,insured,531
1,532,1.0048,healthProv,532
1,533,1.0746,medicalUti,533
1,534,1.0876,erCare_re,534
1,535,1.0161,sapro_lf,535
1,536,1.0176001,hivpp_lf,536
1,537,1.0026,homeless_l,537
1,538,1.0865,incarcerat,538
1,539,1.0123,ipv_lf,539
1,540,1.0002,sexex_lf,540
1,541,1.0298001,suicide_lf,541
1,542,1.0302,hospitalmh,542
1,543,1.058,sexab_lf,543
1,544,1.0172,tmx5old_lf,544
1,545,1.0599,tmrob_lf,545
1,546,1.0314,tmotinj_lf,546
1,547,1.0622,tmotmdr_lf,547
1,548,1.0318,xdrug_r,548
1,549,1.0214,smoke_lf,549
1,550,1.0273, Residual Var.,550
1,551,1.0193, Grand Mean,551
1,552,1.0115,depression,552
1,553,1.0189,age,553
1,554,1.0115,audit_c,554
1,555,1.0168,count_lf,555
1,556,1.0325,ptsd,556
1,557,1.0118001,anxietyr,557
1,558,1.0079,sadr,558
1,559,1.0191,intfsocr,559
1,560,1.0109,energr,560
1,561,1.0533,anxiety_ra,561
1,562,1.0067,srMentH,562
1,563,1.0058,srPhysH,563
1,564,1.0051,srDrugFree,564
1,565,1.0175,srSocNet,565
1,566,1.0542001,srSexRx,566
1,567,1.0074,ssHelp,567
1,568,1.0039999,ssEmoHelp,568
1,569,1.0294,ssNewFri,569
1,570,1.0509,smAppFreq,570
1,571,1.0175,datingAppF,571
1,572,1.0394,losAng,572
1,573,1.0156,RaceEthnic#2,573
1,574,1.0106,RaceEthnic#3,574
1,575,1.0168,RaceEthnic#4,575
1,576,1.0041,female,576
1,577,1.0033,cis,577
1,578,1.0219001,heterosexu,578
1,579,1.0905,employed,579
1,580,1.0196,poverty,580
1,581,1.0215,insured,581
1,582,1.0238,healthProv,582
1,583,1.0318,medicalUti,583
1,584,1.0554,erCare_re,584
1,585,1.011,sapro_lf,585
1,586,1.0134,hivpp_lf,586
1,587,1.0071,homeless_l,587
1,588,1.0364,incarcerat,588
1,589,1.0044,ipv_lf,589
1,590,1.0252,sexex_lf,590
1,591,1.0572,suicide_lf,591
1,592,1.0199,hospitalmh,592
1,593,1.0171,sexab_lf,593
1,594,1.0523,tmx5old_lf,594
1,595,1.1296,tmrob_lf,595
1,596,1.0773,tmotinj_lf,596
1,597,1.0064,tmotmdr_lf,597
1,598,1.0475,xdrug_r,598
1,599,1.0125999,smoke_lf,599
1,600,1.0039999, Residual Var.,600
1,601,1.0333, Grand Mean,601
1,602,1.0053,depression,602
1,603,1.1489,age,603
1,604,1.0292,audit_c,604
1,605,1.0516,count_lf,605
1,606,1.0141,ptsd,606
1,607,1.0377001,anxietyr,607
1,608,1.0101,sadr,608
1,609,1.0096,intfsocr,609
1,610,1.0225,energr,610
1,611,1.0066,anxiety_ra,611
1,612,1.043,srMentH,612
1,613,1.0391001,srPhysH,613
1,614,1.0163,srLivSit,614
1,615,1.0061001,srSocNet,615
1,616,1.0657001,srSexRx,616
1,617,1.0067,ssHelp,617
1,618,1.1036,ssEmoHelp,618
1,619,1.0154999,ssNewFri,619
1,620,1.0382,smAppFreq,620
1,621,1.0424,datingAppF,621
1,622,1.0287,losAng,622
1,623,1.028,RaceEthnic#2,623
1,624,1.0174,RaceEthnic#3,624
1,625,1.0361,RaceEthnic#4,625
1,626,1.061,female,626
1,627,1.0141,cis,627
1,628,1.0343,heterosexu,628
1,629,1.3347,employed,629
1,630,1.2819999,poverty,630
1,631,1.0317,insured,631
1,632,1.0303,healthProv,632
1,633,1.0056,medicalUti,633
1,634,1.0176001,erCare_re,634
1,635,1.0105,sapro_lf,635
1,636,1.1199,hivpp_lf,636
1,637,1.0164,homeless_l,637
1,638,1.0651,incarcerat,638
1,639,1.1303,ipv_lf,639
1,640,1.0102,sexex_lf,640
1,641,1.0283999,suicide_lf,641
1,642,1.0445,hospitalmh,642
1,643,1.1457,sexab_lf,643
1,644,1.0329,tmx5old_lf,644
1,645,1.0470001,tmrob_lf,645
1,646,1.1309,tmotinj_lf,646
1,647,1.107,tmotmdr_lf,647
1,648,1.0658,xdrug_r,648
1,649,1.0269001,smoke_lf,649
1,650,1.0195, Residual Var.,650
1,651,1.0152, Grand Mean,651
1,652,1.0148,depression,652
1,653,1.0191,age,653
1,654,1.0092,audit_c,654
1,655,1.0091,count_lf,655
1,656,1.0331,ptsd,656
1,657,1.0025001,anxietyr,657
1,658,1.0197999,sadr,658
1,659,1.0028,intfsocr,659
1,660,1.0037,energr,660
1,661,1.0223,anxiety_ra,661
1,662,1.0114,srMentH,662
1,663,1.0227,srPhysH,663
1,664,1.0193,srLivSit,664
1,665,1.008,srDrugFree,665
1,666,1.0005,srSexRx,666
1,667,1.0193,ssHelp,667
1,668,1.0131,ssEmoHelp,668
1,669,1.0184,ssNewFri,669
1,670,1.0194,smAppFreq,670
1,671,1.0069,datingAppF,671
1,672,1.0035,losAng,672
1,673,1.0057,RaceEthnic#2,673
1,674,1.0012,RaceEthnic#3,674
1,675,1.0146,RaceEthnic#4,675
1,676,1.0079,female,676
1,677,1.0221,cis,677
1,678,1.0154001,heterosexu,678
1,679,1.023,employed,679
1,680,1.0232,poverty,680
1,681,1.031,insured,681
1,682,1.0161,healthProv,682
1,683,1.0114,medicalUti,683
1,684,1.0319999,erCare_re,684
1,685,1.0196,sapro_lf,685
1,686,1.0897,hivpp_lf,686
1,687,1.0026,homeless_l,687
1,688,1.041,incarcerat,688
1,689,1.0256,ipv_lf,689
1,690,1.0184,sexex_lf,690
1,691,1.0319999,suicide_lf,691
1,692,1.0079,hospitalmh,692
1,693,1.0075001,sexab_lf,693
1,694,1.0093,tmx5old_lf,694
1,695,1.0233999,tmrob_lf,695
1,696,1.018,tmotinj_lf,696
1,697,1.0431,tmotmdr_lf,697
1,698,1.036,xdrug_r,698
1,699,1.0038,smoke_lf,699
1,700,1.0132, Residual Var.,700
1,701,1.0056, Grand Mean,701
1,702,1.0035,depression,702
1,703,1.0401,age,703
1,704,1.0411,audit_c,704
1,705,1.0489,count_lf,705
1,706,1.0242,ptsd,706
1,707,1.0156,anxietyr,707
1,708,1.0052,sadr,708
1,709,1.0164,intfsocr,709
1,710,1.002,energr,710
1,711,1.0159,anxiety_ra,711
1,712,1.0405999,srMentH,712
1,713,1.031,srPhysH,713
1,714,1.0264,srLivSit,714
1,715,1.0913,srDrugFree,715
1,716,1.0008,srSocNet,716
1,717,1.0206,ssHelp,717
1,718,1.0057,ssEmoHelp,718
1,719,1.0306,ssNewFri,719
1,720,1.0027,smAppFreq,720
1,721,1.0369,datingAppF,721
1,722,1.03,losAng,722
1,723,1.0073,RaceEthnic#2,723
1,724,1.0206,RaceEthnic#3,724
1,725,1.0422,RaceEthnic#4,725
1,726,1.0389,female,726
1,727,1.0553,cis,727
1,728,1.0338,heterosexu,728
1,729,1.1654,employed,729
1,730,1.1295,poverty,730
1,731,1.1106,insured,731
1,732,1.1004,healthProv,732
1,733,1.0173,medicalUti,733
1,734,1.0388,erCare_re,734
1,735,1.0138,sapro_lf,735
1,736,1.1117001,hivpp_lf,736
1,737,1.0104001,homeless_l,737
1,738,1.0235,incarcerat,738
1,739,1.0398999,ipv_lf,739
1,740,1.021,sexex_lf,740
1,741,1.0702,suicide_lf,741
1,742,1.0836,hospitalmh,742
1,743,1.0137,sexab_lf,743
1,744,1.05,tmx5old_lf,744
1,745,1.0456001,tmrob_lf,745
1,746,1.0989,tmotinj_lf,746
1,747,1.0652,tmotmdr_lf,747
1,748,1.0799,xdrug_r,748
1,749,1.1165,smoke_lf,749
1,750,1.0249, Residual Var.,750
1,751,1.0183001, Grand Mean,751
1,752,1.0101,depression,752
1,753,1.0324,age,753
1,754,1.0136,audit_c,754
1,755,1.0185,count_lf,755
1,756,1.0373,ptsd,756
1,757,1.0096,anxietyr,757
1,758,1.0064,sadr,758
1,759,1.0219001,intfsocr,759
1,760,1.0075001,energr,760
1,761,1.0010999,anxiety_ra,761
1,762,1.0037,srMentH,762
1,763,1.0057,srPhysH,763
1,764,1.0037,srLivSit,764
1,765,1.0189,srDrugFree,765
1,766,1.0025001,srSocNet,766
1,767,1.0031,srSexRx,767
1,768,1.0064,ssEmoHelp,768
1,769,1.016,ssNewFri,769
1,770,1.0044,smAppFreq,770
1,771,1.0137,datingAppF,771
1,772,1.0233999,losAng,772
1,773,1.0136,RaceEthnic#2,773
1,774,1.0846,RaceEthnic#3,774
1,775,1.0144,RaceEthnic#4,775
1,776,1.0456001,female,776
1,777,1.0044,cis,777
1,778,1.0317,heterosexu,778
1,779,1.0125,employed,779
1,780,1.0525,poverty,780
1,781,1.0994999,insured,781
1,782,1.0677,healthProv,782
1,783,1.02,medicalUti,783
1,784,1.0115,erCare_re,784
1,785,1.0052,sapro_lf,785
1,786,1.0087,hivpp_lf,786
1,787,1.0134,homeless_l,787
1,788,1.041,incarcerat,788
1,789,1.0763,ipv_lf,789
1,790,1.0483,sexex_lf,790
1,791,1.0228,suicide_lf,791
1,792,1.0101,hospitalmh,792
1,793,1.0319999,sexab_lf,793
1,794,1.0245,tmx5old_lf,794
1,795,1.0604,tmrob_lf,795
1,796,1.0526,tmotinj_lf,796
1,797,1.0195,tmotmdr_lf,797
1,798,1.0468,xdrug_r,798
1,799,1.0441,smoke_lf,799
1,800,1.0079, Residual Var.,800
1,801,1.0294,Grand Mean,801
1,802,1.0262001,depression,802
1,803,1.1048,age,803
1,804,1.0199,audit_c,804
1,805,1.0247,count_lf,805
1,806,1.0014,ptsd,806
1,807,1.0107,anxietyr,807
1,808,1.0045,sadr,808
